bibNumber,title,callNumber,Counts,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12
2792833,"Escape from Camp 14 one mans remarkable odyssey from North Korea to freedom in the west","CD 365.45092 Sh631H 2012",179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,7,9,4,7,4,4,4,4,10,6,5,1,7,5,2,6,1,3,2,2,5,1,1,1,2,3,2,4,2,2,6,2,2,2,3,3,1,2,1,2,1,3,0,0,1,0,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
2657113,"Nothing to envy ordinary lives in North Korea","CD 306.09519 D3952N 2010",166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,1,3,3,2,4,3,3,4,2,4,4,3,4,3,2,2,2,3,2,2,1,3,1,2,1,0,2,2,3,1,0,3,4,4,0,1,1,0,3,1,0,1,2,1,0,2,1,0,1,2,0,1,1,3,4,3,5,1,1,3,2,2,1,1,2,0,1,1,3,0,1,1,0,3,3,1,3,1,1,1,1,0,1,0,1,0,1,2
2638102,"cleanest race how North Koreans see themselves and why it matters","303.37509 M9922C 2010",159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,6,5,4,6,7,3,3,6,7,1,4,3,3,1,2,1,2,1,1,3,3,2,3,0,1,1,3,1,1,0,0,2,1,3,2,3,3,1,3,0,1,1,0,1,2,3,1,1,0,0,0,0,1,1,1,0,3,2,2,1,1,0,1,2,0,0,0,2,2,1,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,2,1,0
2512385,"Escaping North Korea defiance and hope in the worlds most repressive country","306.09519 K5605E 2008",153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,1,1,3,0,1,0,1,2,9,12,7,9,0,2,2,0,1,1,4,5,2,1,2,1,1,0,2,0,0,0,1,1,1,1,0,0,1,3,2,1,0,0,2,1,3,2,2,0,1,1,3,0,1,1,0,1,2,1,2,1,1,1,2,0,0,1,4,3,2,5,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,1,3,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0
3133250,"In order to live a North Korean girls journey to freedom","325.21095 P2199P 2015",149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,8,7,9,9,10,12,12,4,6,3,6,4,2,5,1,3,4,3,1,6,5,3,3,1,1
473724,"Trump the art of the deal","333.33092 T772A",148,0,5,2,2,1,2,3,2,2,2,3,2,0,2,5,1,1,2,1,3,3,0,2,0,2,1,1,4,0,3,1,4,2,3,1,1,2,1,1,2,1,2,2,0,1,0,1,0,2,1,0,1,1,0,0,1,2,0,1,1,0,2,2,0,2,1,0,3,1,0,1,1,1,1,0,2,0,0,0,0,2,1,1,0,0,3,2,0,3,1,0,2,2,0,0,0,3,0,2,1,1,1,1,1,1,0,1,0,2,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3086331,"great leader and the fighter pilot the true story of the tyrant who created North Korea and the young lieutenant who stole his way to freedom","951.90424 K5604H 2015",145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,19,13,8,11,5,3,1,2,3,1,3,3,1,3,2,1,2,2,0,1,2,2,0,1,2,1,1,2,2,3,1,1
2483440,"North Korea","J951.93 K961N 2008",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,0,2,2,0,2,0,1,0,3,0,3,1,1,1,2,3,0,3,2,0,1,0,1,1,2,2,2,3,2,4,2,2,0,1,2,0,1,1,2,1,0,2,3,2,2,0,1,0,1,4,1,0,2,2,1,1,1,0,3,2,2,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,3,0,1,1,0,0,2,1,2,0,2,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0
2997504,"Dear Leader poet spy escapee a look inside North Korea","951.93051 J2547J 2014",113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,6,7,5,4,6,6,3,4,4,2,0,2,1,2,1,0,1,3,5,6,3,1,1,4,0,0,1,2,0,1,1,0,1,1,0,1,1,2,1,0,1
2869980,"real North Korea life and politics in the failed Stalinist utopia","951.9304 L278R 2013",109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,5,9,6,7,4,4,8,3,2,2,1,2,2,2,0,2,1,1,0,0,1,1,2,2,0,1,1,3,1,0,0,1,0,1,1,1,0,2,0,2,0,0,1,2,1,1,2,2,1,2,1
2267453,"Under the loving care of the fatherly leader North Korea and the Kim Dynasty","951.93043 K5601M 2004",104,2,2,1,1,2,5,1,2,1,2,3,1,0,0,1,0,3,0,2,0,0,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,2,2,1,2,2,0,2,1,1,1,1,0,1,2,1,1,1,3,1,1,1,4,0,3,1,1,3,0,0,1,3,1,0,1,2,2,2,0,0,1,1,0,1,0,1,0,1,2,0,1,1,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2909933,"North Korea","J951.93 So591N 2014",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,2,3,4,1,0,1,3,3,2,2,1,3,2,1,6,2,0,3,1,0,2,2,4,4,1,1,1,0,1,2,0,2,1,2,2,1,0,0,4,2,0,2,5,1,2,2,0
2801246,"impossible state North Korea past and future","951.93 C34i 2012",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,2,3,3,3,1,2,2,6,5,3,6,2,2,2,1,2,1,2,1,0,0,0,2,0,1,0,2,3,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,2,0
3125483,"Trump the art of the deal","333.33092 T772T 2005",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,3,6,9,6,9,4,3,6,6,5,4,5,8,0,2,1,2,2,0,0,0,0,0,0
2484772,"reluctant communist my desertion court martial and forty year imprisonment in North Korea","355.1334 J4154J 2008",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,8,4,2,4,3,1,3,1,2,0,0,0,0,2,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,2,1,1,0,0,1,0,0,0,0,1,0,1,2,0,1,0,3,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
2818793,"Escape from Camp 14 one mans remarkable odyssey from North Korea to freedom in the West","365.45092 Sh631H 2012",83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,1,5,4,3,0,5,2,4,3,2,4,3,1,0,5,3,2,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0
2443500,"Jia a novel of North Korea","FIC KIM2007",83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,4,3,3,6,2,3,2,1,1,2,1,2,1,0,0,0,3,0,0,1,0,1,1,0,2,1,0,0,0,1,0,2,3,0,1,0,0,1,1,0,1,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2286583,"North Korea in pictures","J951.93 B3954N 2005",80,3,1,2,1,0,2,2,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,3,3,2,1,0,0,2,2,0,0,0,0,2,2,2,3,0,2,0,1,1,2,1,1,1,1,1,0,1,0,0,2,0,2,1,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3247292,"Trump the art of the deal","333.33092 T772T 2015",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,12,12,9,4,4,3,4,5
2452931,"Operation Broken Reed Trumans secret North Korean spy mission that averted World War III","951.90428 B6923o 2007",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,6,6,1,2,3,1,0,0,0,0,2,0,2,0,0,1,1,1,1,1,0,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,2,0,0,0,1,0,1,1,1,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2379976,"This is paradise my North Korean childhood","951.93043 K1318T 2005",75,0,0,0,0,0,0,0,0,0,0,4,5,2,0,5,5,4,2,1,0,0,1,0,0,0,2,2,0,0,1,0,1,0,0,0,1,1,0,1,1,1,2,0,1,1,0,2,0,1,0,1,1,0,1,2,3,0,0,0,1,1,0,1,0,1,0,0,1,1,0,2,0,0,0,1,1,3,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2681249,"world is bigger now an American journalists release from captivity in North Korea a remarkable story of faith family and forgiveness","365.45092 L5117L 2010",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,6,5,3,3,5,4,2,3,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2649427,"Eating with the enemy how I waged peace with North Korea from my BBQ shack in Hackensack","974.9043 Eg14E 2010",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,5,5,5,2,5,2,2,2,0,1,0,3,0,0,1,1,1,2,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2519216,"North Korean posters the David Heather collection","741.67409 H3522H 2008",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,4,1,2,1,1,0,0,0,2,0,1,2,1,2,1,1,3,0,0,2,0,0,0,2,1,2,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,2,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2839126,"Escape from North Korea the untold story of Asias underground railroad","305.90691 K6365E 2012",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,4,1,3,1,1,0,2,1,2,2,3,0,0,1,2,0,0,3,2,0,2,0,1,0,0,0,1,1,0,1,0,0,3,0,0,0,1,1,0,0,0,1,0,0,2,1,0,1,2,0,0,0,0,0,1,2,0,0,0,1,0
2624758,"hidden people of North Korea everyday life in the hermit kingdom","951.9305 H278H 2009",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,3,2,2,1,2,1,1,2,0,2,1,1,1,0,2,1,0,1,2,1,1,1,0,0,1,1,1,1,1,0,0,2,2,2,2,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
3078395,"Under the same sky from starvation in North Korea to salvation in America","362.87092 K5604K 2015",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,9,7,4,1,2,2,3,2,1,2,0,1,2,0,0,1,0,0,0,1,0,2,0,0,2,0,0,1,1
3004935,"North Korea state of paranoia","951.93 F8888N 2014",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,4,3,3,4,2,1,1,1,2,0,2,1,1,0,0,1,2,1,0,1,1,1,0,2,1,2,1,0,1,0,1,1,1,2,1,0,1,2,1,0
