2012,1,0,0,0,0
2012,2,0,0,0,0
2012,3,0,0,0,0
2012,4,0,0,0,0
2012,5,0,0,0,0
2012,6,0,0,0,0
2012,7,0,0,0,0
2012,8,0,0,0,0
2012,9,0,0,0,0
2012,10,0,0,0,109
2012,11,0,0,0,208
2012,12,0,0,0,186
2013,1,0,0,0,212
2013,2,0,0,0,186
2013,3,0,0,0,200
2013,4,0,0,0,208
2013,5,0,150,0,200
2013,6,0,221,0,214
2013,7,0,200,0,211
2013,8,0,217,0,184
2013,9,184,210,0,157
2013,10,252,216,0,170
2013,11,238,211,0,158
2013,12,249,188,0,125
2014,1,250,173,0,137
2014,2,226,186,122,103
2014,3,240,177,333,120
2014,4,208,162,323,102
2014,5,183,97,318,104
2014,6,216,98,303,71
2014,7,189,87,279,72
2014,8,160,88,258,56
2014,9,137,102,272,54
2014,10,134,77,271,60
2014,11,127,75,235,45
2014,12,118,92,228,55
2015,1,112,86,199,42
2015,2,96,65,169,43
2015,3,80,63,142,29
2015,4,80,69,152,39
2015,5,70,64,138,30
2015,6,79,58,119,36
2015,7,71,59,134,21
2015,8,63,67,135,28
2015,9,62,62,113,21
2015,10,67,55,123,25
2015,11,55,52,100,23
2015,12,59,50,107,23
2016,1,69,50,102,29
2016,2,41,46,90,21
2016,3,64,40,99,28
2016,4,50,39,81,18
2016,5,42,39,62,17
2016,6,37,40,61,18
2016,7,33,41,56,23
2016,8,44,37,49,12
2016,9,41,35,55,13
2016,10,41,33,57,14
2016,11,42,32,58,17
2016,12,51,26,49,20
2017,1,31,22,49,17
2017,2,23,15,34,9
2017,3,27,23,44,13
2017,4,19,21,33,9
2017,5,19,15,27,8
2017,6,14,10,33,15
2017,7,14,8,26,27
2017,8,15,10,22,27
2017,9,15,11,20,14
2017,10,11,14,23,18
2017,11,10,10,22,14
2017,12,10,6,12,10
